ccid,customer,date_check,logistic_status,provider,serviceGroup,installedTerminalSerialNumber,orderNumber,uninstalledTerminalSerialNumber
89551022242001594249,124592127,2019-06-12,GOOD,PR - PONTA GROSSA STONE PAGAMENTOS,DESINSTALAÇÃO,,2582574.0,6G664511
89551020142001160557,614774122,2019-06-12,GOOD,MG - UBERABA STONE PAGAMENTOS,DESINSTALAÇÃO,,2582632.0,5C231176
89550532110020867893,614774122,2019-06-12,GOOD,MG - UBERABA STONE PAGAMENTOS,DESINSTALAÇÃO,,2582633.0,5C201607
89551025142011964381,135996055,2019-06-12,GOOD,MG - SAO JOAO DEL REY STONE PAGAMENTOS,DESINSTALAÇÃO,,2582671.0,51661721
89550532120024284144,743910822,2019-06-12,GOOD,MG - GOVERNADOR VALADARES STONE PAGAMENTOS,DESINSTALAÇÃO,,2582741.0,51497231
89550531180046395402,188855662,2019-06-12,GOOD,PE - OLINDA STONE PAGAMENTOS,DESINSTALAÇÃO,,2582781.0,6C180253
89551022242000613412,105974227,2019-06-12,GOOD,RJ-BC SANTOS,DESINSTALAÇÃO,,2579680.0,51612248
89551022142003574654,196959488,2019-06-12,GOOD,PB - CAMPINA GRANDE STONE PAGAMENTOS,DESINSTALAÇÃO,,2582890.0,6C584256
89551080137014161169,191168132,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2433846.0,6C611135
89550534180025097018,517958117,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2436419.0,6C201492
89550532180037962938,517958117,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2436490.0,6C832556
89550531180051586432,107345778,2019-06-12,GOOD,RN - NATAL STONE PAGAMENTOS,DESINSTALAÇÃO,,2577393.0,6C090427
89550531180046389884,633764569,2019-06-12,GOOD,RJ - ZONA OESTE STONE PAGAMENTOS,DESINSTALAÇÃO,,2583517.0,51693073
89550539180007082181,158850957,2019-06-12,GOOD,SP-MHO,DESINSTALAÇÃO,,2585317.0,6C214705
89551018142000876348,158850957,2019-06-12,GOOD,SP-MHO,DESINSTALAÇÃO,,2585318.0,6C174695
89550534120020542493,166729653,2019-06-12,GOOD,SP-MHO,DESINSTALAÇÃO,,2586219.0,6C584924
89550534120020598560,166729653,2019-06-12,GOOD,SP-MHO,DESINSTALAÇÃO,,2586220.0,6C615310
89550534120020542501,166729653,2019-06-12,GOOD,SP-MHO,DESINSTALAÇÃO,,2586221.0,68853586
89550534120020542519,166729653,2019-06-12,GOOD,SP-MHO,DESINSTALAÇÃO,,2586222.0,6C854240
8955311929849670147,164764932,2019-06-12,GOOD,MT - CUIABA STONE PAGAMENTOS,DESINSTALAÇÃO,,2588212.0,6G438993
89550312000146945333,164764932,2019-06-12,GOOD,MT - CUIABA STONE PAGAMENTOS,DESINSTALAÇÃO,,2588219.0,6G438737
89550532110019676750,163825587,2019-06-12,GOOD,SP-PAYTEC DV,DESINSTALAÇÃO,,2588403.0,6C846165
89551022142003180304,127800420,2019-06-12,GOOD,ES-ULTRA SERVICE,DESINSTALAÇÃO,,2576003.0,68837441
89551022242000914851,163305418,2019-06-12,GOOD,ES-ULTRA SERVICE,DESINSTALAÇÃO,,2579824.0,68895170
89551022142002954121,743910822,2019-06-12,GOOD,MG - GOVERNADOR VALADARES STONE PAGAMENTOS,DESINSTALAÇÃO,,2582746.0,51508648
89550532120024284409,743910822,2019-06-12,GOOD,MG - GOVERNADOR VALADARES STONE PAGAMENTOS,DESINSTALAÇÃO,,2582751.0,51513442
89550532120024284136,743910822,2019-06-12,GOOD,MG - GOVERNADOR VALADARES STONE PAGAMENTOS,DESINSTALAÇÃO,,2582752.0,51540300
89551080137010903671,743910822,2019-06-12,GOOD,MG - GOVERNADOR VALADARES STONE PAGAMENTOS,DESINSTALAÇÃO,,2582756.0,51492542
89551025342000458912,931439461,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2434575.0,6C632132
89551001126000788891,199405578,2019-06-12,GOOD,SC - FLORIANOPOLIS STONE PAGAMENTOS,DESINSTALAÇÃO,,2579937.0,68343711
89551017142001117867,120353738,2019-06-12,GOOD,SP - PAYTEC RT,DESINSTALAÇÃO,,2583755.0,51511531
89550534110019905835,120353738,2019-06-12,GOOD,SP - PAYTEC RT,DESINSTALAÇÃO,,2583756.0,68826084
89550531180046372856,181501452,2019-06-12,GOOD,DF - BRASILIA STONE PAGAMENTOS,DESINSTALAÇÃO,,2583136.0,51494304
89551020226003070748,119715128,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2518578.0,51497732
89551025142007744862,154182382,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2195978.0,6C221145
89550312000139315254,357579867,2019-06-12,GOOD,SC - JOINVILLE STONE PAGAMENTOS,DESINSTALAÇÃO,,2580135.0,6G275224
89550312000147044706,164116653,2019-06-12,GOOD,SC - JOINVILLE STONE PAGAMENTOS,DESINSTALAÇÃO,,2580386.0,5C211398
89551012226000944697,165756010,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2518642.0,51542744
89551020126002303290,143924826,2019-06-12,GOOD,SP - SOROCABA STONE PAGAMENTOS,DESINSTALAÇÃO,,2576129.0,51662699
89550539180007084740,189954906,2019-06-12,GOOD,SP - ZONA NORTE STONE PAGAMENTOS,DESINSTALAÇÃO,,2580910.0,6C931617
89551025342000739592,827276824,2019-06-12,GOOD,SC - ITAJAI STONE PAGAMENTOS,DESINSTALAÇÃO,,2581516.0,51754603
